date,value
2009-07-24,329626
2009-07-31,331296
2009-08-07,333992
2009-08-14,325595
2009-08-21,325723
2009-08-28,325351
2009-09-04,319545
2009-09-11,314816
2009-09-18,317671
2009-09-25,320467
2009-10-02,319333
2009-10-09,319667
2009-10-16,320979
2009-10-23,321757
2009-10-30,317821
2009-11-06,319609
2009-11-13,318722
2009-11-20,319741
2009-11-27,321832
2009-12-04,318037
2009-12-11,314348
2009-12-18,309507
2009-12-25,307969
2010-01-01,306626
2010-01-08,310325
2010-01-15,309854
2010-01-22,305966
2010-01-29,308283
2010-02-05,310577
2010-02-12,313662
2010-02-19,316696
2010-02-26,320730
2010-03-05,322200
2010-03-12,323212
2010-03-19,330457
2010-03-26,333386
2010-04-02,335532
2010-04-09,333330
2010-04-16,335224
2010-04-23,337187
2010-04-30,339942
2010-05-07,341861
2010-05-14,342023
2010-05-21,344483
2010-05-28,342581
2010-06-04,340906
2010-06-11,342596
2010-06-18,344613
2010-06-25,342606
2010-07-02,337562
2010-07-09,332504
2010-07-16,332864
2010-07-23,340172
2010-07-30,337388
2010-08-06,334390
2010-08-13,333572
2010-08-20,337680
2010-08-27,341105
2010-09-03,339337
2010-09-10,336848
2010-09-17,337818
2010-09-24,337343
2010-10-01,340186
2010-10-08,339770
2010-10-15,340437
2010-10-22,345444
2010-10-29,347394
2010-11-05,343849
2010-11-12,336563
2010-11-19,337592
2010-11-26,338658
2010-12-03,334524
2010-12-10,324670
2010-12-17,319337
2010-12-24,318079
2010-12-31,313918
2011-01-07,311526
2011-01-14,314143
2011-01-21,318979
2011-01-28,321573
2011-02-04,323404
2011-02-11,324264
2011-02-18,325086
2011-02-25,324722
2011-03-04,327099
2011-03-11,328844
2011-03-18,330975
2011-03-25,333920
2011-04-01,335536
2011-04-08,337163
2011-04-15,334841
2011-04-22,340997
2011-04-29,344418
2011-05-06,348050
2011-05-13,348035
2011-05-20,348651
2011-05-27,351529
2011-06-03,346897
2011-06-10,343491
2011-06-17,341780
2011-06-24,337405
2011-07-01,336532
2011-07-08,333408
2011-07-15,329681
2011-07-22,331977
2011-07-29,332927
2011-08-05,327806
2011-08-12,332039
2011-08-19,329826
2011-08-26,335107
2011-09-02,331146
2011-09-09,324442
2011-09-16,317106
2011-09-23,319021
2011-09-30,314342
2011-10-07,315575
2011-10-14,310846
2011-10-21,315581
2011-10-28,317407
2011-11-04,315819
2011-11-11,314763
2011-11-18,308544
2011-11-25,312476
2011-12-02,313625
2011-12-09,311693
2011-12-16,301123
2011-12-23,305022
2011-12-30,307231
2012-01-06,309056
2012-01-13,305618
2012-01-20,309176
2012-01-27,313351
2012-02-03,313642
2012-02-10,313471
2012-02-17,315104
2012-02-24,319264
2012-03-02,320112
2012-03-09,321862
2012-03-16,320700
2012-03-23,327802
2012-03-30,336811
2012-04-06,339377
2012-04-13,343233
2012-04-20,347211
2012-04-27,350051
2012-05-04,355340
2012-05-11,357468
2012-05-18,358351
2012-05-25,360564
2012-06-01,358801
2012-06-08,358610
2012-06-15,361471
2012-06-22,361338
2012-06-29,357068
2012-07-06,352213
2012-07-13,351404
2012-07-20,354121
2012-07-27,347599
2012-08-03,343824
2012-08-10,340125
2012-08-17,334713
2012-08-24,338491
2012-08-31,331065
2012-09-07,332474
2012-09-14,341008
2012-09-21,338562
2012-09-28,338080
2012-10-05,339592
2012-10-12,342452
2012-10-19,348348
2012-10-26,346303
2012-11-02,347850
2012-11-09,348939
2012-11-16,347473
2012-11-23,347126
2012-11-30,344769
2012-12-07,344909
2012-12-14,343945
2012-12-21,343359
2012-12-28,332239
2013-01-04,333131
2013-01-11,332180
2013-01-18,334993
2013-01-25,340940
2013-02-01,343274
2013-02-08,343834
2013-02-15,347977
2013-02-22,349107
2013-03-01,352843
2013-03-08,355467
2013-03-15,354153
2013-03-22,357409
2013-03-29,360116
2013-04-05,359998
2013-04-12,358765
2013-04-19,359712
2013-04-26,366408
2013-05-03,366779
2013-05-10,366155
2013-05-17,365817
2013-05-24,368817
2013-05-31,362550
2013-06-07,365179
2013-06-14,365492
2013-06-21,365510
2013-06-28,355163
2013-07-05,345426
2013-07-12,338524
2013-07-19,335699
2013-07-26,336130
2013-08-02,334699
2013-08-09,331887
2013-08-16,330459
2013-08-23,333445
2013-08-30,331609
2013-09-06,330991
2013-09-13,326623
2013-09-20,329258
2013-09-27,334730
2013-10-04,341474
2013-10-11,345473
2013-10-18,350719
2013-10-25,354806
2013-11-01,355995
2013-11-08,358635
2013-11-15,359010
2013-11-22,361963
2013-11-29,356378
2013-12-06,345374
2013-12-13,342433
2013-12-20,337702
2013-12-27,330695
2014-01-03,326737
2014-01-10,319079
2014-01-17,320069
2014-01-24,326490
2014-01-31,326930
2014-02-07,329983
2014-02-14,330956
2014-02-21,331024
2014-02-28,332453
2014-03-07,338333
2014-03-14,344183
2014-03-21,350802
2014-03-28,348423
2014-04-04,352341
2014-04-11,362354
2014-04-18,365878
2014-04-25,367576
2014-05-02,366004
2014-05-09,366951
2014-05-16,359725
2014-05-23,361382
2014-05-30,357951
2014-06-06,355221
2014-06-13,354642
2014-06-20,356384
2014-06-27,353229
2014-07-04,350822
2014-07-11,343297
2014-07-18,339328
2014-07-25,335631
2014-08-01,334167
2014-08-08,335568
2014-08-15,331094
2014-08-22,329024
2014-08-29,328119
2014-09-05,327428
2014-09-12,331101
2014-09-19,326828
2014-09-26,325465
2014-10-03,330380
2014-10-10,339303
2014-10-17,346414
2014-10-24,348475
2014-10-31,348935
2014-11-07,346150
2014-11-14,348758
2014-11-21,350704
2014-11-28,347015
2014-12-05,348313
2014-12-12,347466
2014-12-19,354733
2014-12-26,352979
2015-01-02,348806
2015-01-09,354195
2015-01-16,364266
2015-01-23,373140
2015-01-30,379473
2015-02-06,383800
2015-02-13,391516
2015-02-20,399943
2015-02-27,410246
2015-03-06,415425
2015-03-13,425047
2015-03-20,433217
2015-03-27,437983
2015-04-03,449662
2015-04-10,450956
2015-04-17,456271
2015-04-24,458181
2015-05-01,454079
2015-05-08,451888
2015-05-15,449214
2015-05-22,446412
2015-05-29,444464
2015-06-05,438447
2015-06-12,435771
2015-06-19,430837
2015-06-26,433223
2015-07-03,433714
2015-07-10,429368
2015-07-17,431836
2015-07-24,427633
2015-07-31,423226
2015-08-07,421822
2015-08-14,424442
2015-08-21,418990
2015-08-28,423657
2015-09-04,426062
2015-09-11,423958
2015-09-18,422033
2015-09-25,425988
2015-10-02,429028
2015-10-09,436590
2015-10-16,444618
2015-10-23,447994
2015-10-30,450841
2015-11-06,454822
2015-11-13,455074
2015-11-20,456035
2015-11-27,457212
2015-12-04,453553
2015-12-11,458354
2015-12-18,452477
2015-12-25,455106
2016-01-01,450956
2016-01-08,451190
2016-01-15,455169
2016-01-22,463552
2016-01-29,471344
2016-02-05,470676
2016-02-12,472823
2016-02-19,476325
2016-02-26,486699
2016-03-04,490843
2016-03-11,492160
2016-03-18,501517
2016-03-25,503816
2016-04-01,498598
2016-04-08,505232
2016-04-15,507312
2016-04-22,509311
2016-04-29,512095
2016-05-06,508487
2016-05-13,509797
2016-05-20,505571
2016-05-27,504205
2016-06-03,501844
2016-06-10,500911
2016-06-17,499994
2016-06-24,495941
2016-07-01,493718
2016-07-08,491172
2016-07-15,488830
2016-07-22,490501
2016-07-29,491914
2016-08-05,492969
2016-08-12,490461
2016-08-19,492962
2016-08-26,495238
2016-09-02,480725
2016-09-09,480166
2016-09-16,473966
2016-09-23,472084
2016-09-30,469108
2016-10-07,473958
2016-10-14,468711
2016-10-21,468158
2016-10-28,482578
2016-11-04,485010
2016-11-11,490284
2016-11-18,489029
2016-11-25,488145
2016-12-02,485756
2016-12-09,483193
2016-12-16,485449
2016-12-23,486063
2016-12-30,479012
2017-01-06,483109
2017-01-13,485456
2017-01-20,488296
2017-01-27,494762
2017-02-03,508592
2017-02-10,518119
2017-02-17,518683
2017-02-24,520184
2017-03-03,528393
2017-03-10,528156
2017-03-17,533110
2017-03-24,533977
2017-03-31,535543
2017-04-07,533377
2017-04-14,532343
2017-04-21,528702
2017-04-28,527772
2017-05-05,522525
2017-05-12,520772
2017-05-19,516340
2017-05-26,509912
2017-06-02,513207
2017-06-09,511546
2017-06-16,509095
2017-06-23,509213
2017-06-30,502914
2017-07-07,495350
2017-07-14,490623
2017-07-21,483415
2017-07-28,481888
2017-08-04,475437
2017-08-11,466492
2017-08-18,463165
2017-08-25,457773
2017-09-01,462353
2017-09-08,468241
2017-09-15,472832
2017-09-22,470986
2017-09-29,464963
2017-10-06,462216
2017-10-13,456485
2017-10-20,457341
2017-10-27,454906
2017-11-03,457143
2017-11-10,458997
2017-11-17,457142
2017-11-24,453713
2017-12-01,448103
2017-12-08,442986
2017-12-15,436491
2017-12-22,431882
2017-12-29,424463
2018-01-05,419515
2018-01-12,412654
2018-01-19,411583
2018-01-26,418359
2018-02-02,420254
2018-02-09,422095
2018-02-16,420479
2018-02-23,423498
2018-03-02,425906
2018-03-09,430928
2018-03-16,428306
2018-03-23,429949
2018-03-30,425332
2018-04-06,428638
2018-04-13,427567
2018-04-20,429737
2018-04-27,435955
2018-05-04,433758
2018-05-11,432354
2018-05-18,438132
2018-05-25,434512
2018-06-01,436584
2018-06-08,432441
2018-06-15,426527
2018-06-22,416636
2018-06-29,417881
2018-07-06,405248
2018-07-13,411084
2018-07-20,404937
2018-07-27,408740
2018-08-03,407389
2018-08-10,414194
2018-08-17,408358
2018-08-24,405792
2018-08-31,401490
2018-09-07,396194
2018-09-14,394137
2018-09-21,395989
2018-09-28,403964
2018-10-05,409951
2018-10-12,416441
2018-10-19,422787
2018-10-26,426004
2018-11-02,431787
2018-11-09,442057
2018-11-16,446908
2018-11-23,450485
2018-11-30,443162
2018-12-07,441954
2018-12-14,441457
2018-12-21,441411
2018-12-28,441418
2019-01-04,439738
2019-01-11,437055
2019-01-18,445025
2019-01-25,445944
2019-02-01,447207
2019-02-08,450840
2019-02-15,454512
2019-02-22,445865
2019-03-01,452934
2019-03-08,449072
2019-03-15,439483
2019-03-22,442283
2019-03-29,449521
2019-04-05,456550
2019-04-12,455154
2019-04-19,460633
2019-04-26,470567
2019-05-03,466604
2019-05-10,472035
2019-05-17,476775
2019-05-24,476493
2019-05-31,483264
2019-06-07,485470
2019-06-14,482364
2019-06-21,469576
2019-06-28,468491
2019-07-05,458992
2019-07-12,455876
2019-07-19,445041
2019-07-26,436545
2019-08-02,438930
2019-08-09,440510
2019-08-16,437778
2019-08-23,427751
2019-08-30,422980
2019-09-06,416068
2019-09-13,417126
2019-09-20,419538
2019-09-27,422642
2019-10-04,425569
2019-10-11,434850
2019-10-18,433151
2019-10-25,438853
2019-11-01,446782
2019-11-08,449001
2019-11-15,450380
2019-11-22,451952
2019-11-29,447096
2019-12-06,447918
2019-12-13,446833
2019-12-20,441359
2019-12-27,429896
2020-01-03,431060
2020-01-10,428511
2020-01-17,428106
2020-01-24,431654
2020-01-31,435009
2020-02-07,442468
2020-02-14,442883
2020-02-21,443335
2020-02-28,444119
2020-03-06,451783
2020-03-13,453737
2020-03-20,455360
2020-03-27,469193
2020-04-03,484370
2020-04-10,503618
2020-04-17,518640
2020-04-24,527631
2020-05-01,532221
2020-05-08,531476
2020-05-15,526494
2020-05-22,534422
2020-05-29,532345
2020-06-05,538065
2020-06-12,539280
2020-06-19,540722
2020-06-26,533527
2020-07-03,539181
2020-07-10,531688
2020-07-17,536580
2020-07-24,525969
2020-07-31,518596
2020-08-07,514084
2020-08-14,512452
2020-08-21,507763
2020-08-28,498401
2020-09-04,500434
2020-09-11,496045
2020-09-18,494406
2020-09-25,492426
2020-10-02,492927
2020-10-09,489109
2020-10-16,488107
2020-10-23,492427
2020-10-30,484429
2020-11-06,488706
2020-11-13,489475
2020-11-20,488721
2020-11-27,488042
2020-12-04,503231
2020-12-11,500096
2020-12-18,499534
2020-12-25,493469
2021-01-01,485459
2021-01-08,482211
2021-01-15,486563
2021-01-22,476653
2021-01-29,475659
2021-02-05,469014
2021-02-12,461757
2021-02-19,463042
2021-02-26,484605
2021-03-05,498403
2021-03-12,500799
2021-03-19,502711
2021-03-26,501835
2021-04-02,498313
2021-04-09,492423
2021-04-16,493017
2021-04-23,493107
2021-04-30,485117
2021-05-07,484691
2021-05-14,486011
2021-05-21,484349
2021-05-28,479270
2021-06-04,474029
2021-06-11,466674
2021-06-18,459060
2021-06-25,452342
2021-07-02,445476
2021-07-09,437580
2021-07-16,439687
2021-07-23,435598
2021-07-30,439225
2021-08-06,438777
2021-08-13,435544
2021-08-20,432564
2021-08-27,425395
2021-09-03,423867
2021-09-10,417445
2021-09-17,413964
2021-09-24,418542
2021-10-01,420887
2021-10-08,426975
2021-10-15,426544
2021-10-22,430812
2021-10-29,434102
2021-11-05,435104
2021-11-12,433003
2021-11-19,434020
2021-11-26,433111
2021-12-03,432870
2021-12-10,428286
2021-12-17,423571
2021-12-24,419995
2021-12-31,417851
2022-01-07,413298
2022-01-14,413813
2022-01-21,416190
2022-01-28,415143
2022-02-04,410387
2022-02-11,411508
2022-02-18,416022
2022-02-25,413425
2022-03-04,411562
2022-03-11,415907
2022-03-18,413399
2022-03-25,409950
2022-04-01,412371
2022-04-08,421753
2022-04-15,413733
2022-04-22,414424
2022-04-29,415727
2022-05-06,424214
2022-05-13,420820
2022-05-20,419801
2022-05-27,414733
2022-06-03,416758
2022-06-10,418714
2022-06-17,418328
2022-06-24,415566
2022-07-01,423800
2022-07-08,427054
2022-07-15,426609
2022-07-22,422086
2022-07-29,426553
2022-08-05,432010
2022-08-12,424954
2022-08-19,421672
2022-08-26,418346
2022-09-02,427191
2022-09-09,429633
2022-09-16,430774
2022-09-23,430559
2022-09-30,429203
2022-10-07,439082
2022-10-14,437357
2022-10-21,439945
2022-10-28,436830
2022-11-04,440755
2022-11-11,435355
2022-11-18,431665
2022-11-25,419084
2022-12-02,413898
2022-12-09,424129
2022-12-16,418234
2022-12-23,418952
2022-12-30,420646
2023-01-06,439607
2023-01-13,448015
2023-01-20,448548
2023-01-27,452688
2023-02-03,455111
2023-02-10,471394
2023-02-17,479041
2023-02-24,480207
2023-03-03,478513
2023-03-10,480063
2023-03-17,481180
2023-03-24,473691
2023-03-31,469952
2023-04-07,470549
2023-04-14,465968
2023-04-21,460914
2023-04-28,459633
2023-05-05,462584
2023-05-12,467624
2023-05-19,455168
2023-05-26,459657
2023-06-02,459205
2023-06-09,467124
2023-06-16,463293
2023-06-23,453690
2023-06-30,452182
2023-07-07,458128
2023-07-14,457420
2023-07-21,456820
2023-07-28,439771
2023-08-04,445622
2023-08-11,439662
2023-08-18,433528
2023-08-25,422944
2023-09-01,416637
2023-09-08,420592
2023-09-15,418456
2023-09-22,416287
2023-09-29,414063
2023-10-06,424239
2023-10-13,419748
2023-10-20,421120
2023-10-27,421893
2023-11-03,435762
2023-11-10,439354
2023-11-17,448054
2023-11-24,449664
2023-12-01,445031
2023-12-08,440773
2023-12-15,443682
2023-12-22,436568
2023-12-29,431065
2024-01-05,432403
2024-01-12,429911
2024-01-19,420678
2024-01-26,421912
2024-02-02,427432
2024-02-09,439450
2024-02-16,442964
2024-02-23,447163
2024-03-01,448530
2024-03-08,446994
2024-03-15,445042
2024-03-22,448207
2024-03-29,451417
2024-04-05,457258
2024-04-12,459993
2024-04-19,453625
2024-04-26,460890
2024-05-03,459528
2024-05-10,457020
2024-05-17,458845
2024-05-24,454689
2024-05-31,455922
2024-06-07,459652
2024-06-14,457105
2024-06-21,460696
2024-06-28,448539
2024-07-05,445096
2024-07-12,440226
2024-07-19,436485
2024-07-26,433049
2024-08-02,429321
2024-08-09,430678
2024-08-16,426029
2024-08-23,425183
2024-08-30,418310
2024-09-06,419143
2024-09-13,417513
2024-09-20,413042
2024-09-27,416931
2024-10-04,422741
2024-10-11,420550
2024-10-18,426024
2024-10-25,425509
2024-11-01,427658
2024-11-08,429747
2024-11-15,430292
2024-11-22,428448
2024-11-29,423375
2024-12-06,421950
2024-12-13,421016
2024-12-20,416779
2024-12-27,415601
2025-01-03,414642
2025-01-10,412680
2025-01-17,411663
2025-01-24,415126
2025-01-31,423790
2025-02-07,427860
2025-02-14,432493
2025-02-21,430161
2025-02-28,433775
2025-03-07,435223
2025-03-14,436968
2025-03-21,433627
2025-03-28,439792
2025-04-04,442345
2025-04-11,442860
2025-04-18,443104
2025-04-25,440408
2025-05-02,438376
2025-05-09,441830
2025-05-16,443158
2025-05-23,440363
2025-05-30,436059
2025-06-06,432415
2025-06-13,420942
2025-06-20,415106
2025-06-27,418951
2025-07-04,426021
2025-07-11,422162
2025-07-18,418993
2025-07-25,426691
2025-08-01,423662
2025-08-08,426698
2025-08-15,420684
2025-08-22,418292
2025-08-29,420707
2025-09-05,424646
2025-09-12,415361
2025-09-19,414754
2025-09-26,416546
2025-10-03,420261
2025-10-10,423785
2025-10-17,422824
2025-10-24,415966
2025-10-31,421168
2025-11-07,427581
2025-11-14,424155
2025-11-21,426929
2025-11-28,427503
2025-12-05,425691
2025-12-12,424417
2025-12-19,424822
2025-12-26,422888
2026-01-02,419056
2026-01-09,422447
2026-01-16,426049
2026-01-23,423754
2026-01-30,420299
2026-02-06,428829
2026-02-13,419815
2026-02-20,435804
2026-02-27,439279
2026-03-06,443103
2026-03-13,449259
2026-03-20,456185
2026-03-27,461636
2026-04-03,464717
2026-04-10,463804
2026-04-17,465729
2026-04-24,459495
2026-05-01,457182
2026-05-08,452876
2026-05-15,445013
2026-05-22,441686
2026-05-29,433712
2026-06-05,426485
2026-06-12,418222
2026-06-19,412134
2026-06-26,408359
